Date,Open,High,Low,Close,Volume,Turnover (Rs. Cr)
2016-06-09,11413.3,11413.3,11215.95,11264.85,14935866,1461.7
2016-06-10,11226.45,11320.4,11210.6,11229.05,12821894,1180.5
2016-06-13,11164.15,11214.2,11111.7,11191.55,8343619,780.21
2016-06-14,11210.65,11222.35,11110.75,11169.45,6907602,617.32
2016-06-15,11195.95,11293.15,11172.6,11282.05,6976940,757.72
2016-06-16,11249.7,11263.5,11128.95,11244.25,7378522,723.65
2016-06-17,11258.65,11304.8,11242.55,11290.8,12449933,1236.85
2016-06-20,11272.95,11518.7,11256.65,11506.6,12629155,1202.95
2016-06-21,11515.25,11519.9,11453.2,11488.45,8232500,774.15
2016-06-22,11509.05,11524.3,11421.55,11490.8,7632195,752.74
2016-06-23,11469.35,11526.4,11396.75,11487.05,6471630,665.72
2016-06-24,11193.25,11218.3,11043.1,11203.15,14923291,1503.54
2016-06-27,11069.9,11094.8,10976.8,11008.05,9687213,1157.68
2016-06-28,10978.6,11031.5,10874.6,10884.65,13377522,1463.86
2016-06-29,10943.3,11072.3,10900.95,11057.4,10849342,1071.25
2016-06-30,11109.7,11156.4,11052.25,11120.15,15207257,1699.33
2016-07-01,11172.65,11178.05,11078.45,11098.4,6452096,733.38
2016-07-04,11142.25,11242.3,11142.25,11184.85,8314465,853.81
2016-07-05,11176.2,11176.2,11110.6,11141,6851493,701.22
2016-07-07,11136.3,11138.45,10929.4,10942,11522480,1207.42
2016-07-08,10947.95,10982.95,10896.9,10946.7,7468140,837.26
2016-07-11,10993.85,11073.4,10992.55,11045.95,9190711,903.26
2016-07-12,11064.4,11072.3,10997.3,11056.8,8392487,831.28
2016-07-13,11094.2,11139,11042.95,11128.2,10579802,1022.99
2016-07-14,11117.35,11174.6,11090.8,11157.85,8660653,1001.87
2016-07-15,11197.85,11219.05,10691.7,10716.45,45101876,4977.35
2016-07-18,10734.5,10767.85,10659.8,10735.1,15727643,1528.32
2016-07-19,10694.95,10777.6,10694,10766.3,17825899,1526.4
2016-07-20,10600.75,10775.8,10600.75,10764.7,21106183,1699.84
2016-07-21,10749.75,10789.25,10719.8,10772.25,10356504,1071.94
2016-07-22,10745.55,10775.2,10711.5,10756,10295518,977.62
2016-07-25,10734.1,10880.4,10731.2,10870.9,10178345,993.53
2016-07-26,10839.5,10901.1,10836.8,10877.65,12775441,1151.16
2016-07-27,10875.45,10952.65,10849.3,10928.45,9688082,940.68
2016-07-28,10923.1,10952.7,10881.3,10935.65,16448508,1748.38
